,PMCIDS,keywords,TPS_match,TPS._match
0,PMC6020762,"Amomum villosum', 'Bornyl acetate', 'Transcriptomics', 'Volatile Terpenoids', 'Bornyl Diphosphate Synthase', 'Pinene Synthase'","AvTPS1', 'AvTPS1', 'AvTPS1', 'AvTPS1', 'AvTPS1', 'AvTPS1', 'AvTPS1', 'AvTPS1', 'AvTPS1', 'AvTPS1', 'AvTPS3', 'AvTPS3', 'AvTPS3', 'AvTPS1,', 'AvTPS3', 'AvTPS3', 'AvTPS3', 'AvTPS3', '(AvTPS1)', '(AvTPS3)', 'AvTPS1', 'AvTPS3â€™s', 'AvTPS1', 'AvTPS3,', 'pAN580-AvTPS1', 'pAN580-AvTPS3', 'AvTPS1-eGFP', 'AvTPS3-eGFP', 'mono-TPSs', '(AvTPS1)', '(AvTPS3)', 'TPS', 'TPS', 'mono-TPS', 'AvTPS1-AvTPS5', 'AvTPS3', 'AvTPS3', 'AvTPS1', 'AvTPS5', 'TPS', 'mono-TPS', 'mono-TPS', 'sesqui-TPS', 'TPS', 'TPS', 'AvTPS1', 'AvTPS10', 'AvTPS1', 'AvTPS10', 'TPSs', 'TPS-a', 'TPS-h;', 'TPSs', 'AvTPSs', 'TPSs', 'AvTPS1,', 'AvTPS2', 'AvTPS3', 'TPS-b', 'mono-TPSs', 'TPS-b', 'AvTPS4', 'AvTPS5', 'TPS-g', 'TPS-d', 'mono-TPSs,', 'AvTPS6,', 'AvTPS7,', 'AvTPS8', 'TPS-a', 'sesqui-TPSs.', 'AvTPS9', 'AvTPS10', 'TPS-c', 'AvTPS1', 'AvTPS3', 'AvTPS1', 'AvTPS3', 'AvTPS1', 'TPS7', 'AvTPS3', 'mono-TPS', 'mono-TPS', 'TPS-b', 'AvTPS1', 'AvTPS3'",
1,PMC6941427,"Secondary metabolites', 'Camellia sinensis', 'Transcriptome', 'Long Non-coding Rnas', 'Withering'","TPS),', 'TPS', 'TPS'",
2,PMC6102311,NaN,"CsiTPS8', 'CsiTPS8', 'ChTPS1', '(ChTPS1a)', 'CsiTPS8', 'CsiTPS8', 'ChTPS1', 'CsiTPS8,', 'ChTPS1', 'ChTPS1,', 'ChTPS1', 'ChTPS1', 'ChTPS1', 'ChTPS1', 'ChTPS1', 'ChTPS1', 'TPS-conserved', 'ChTPS1', 'ChTPS1', 'TPSs', 'TPS', 'TPSs.', 'ChTPS1', 'TPSs', 'TPS8', '(CsiTPS8)', 'ChTPS1', 'CbTPS1,', 'ChTPS1,', 'TPS', 'ChTPS1.', 'ChTPS1', 'TPS', 'ChTPS1', 'ChTPS1', 'CsiTPS8,', 'ChTPS1', 'ChTPS1', '(ChTPS1a)', 'ChTPS1', 'ChTPS1', 'ChTPS1', 'ChTPS1', 'ChTPS1', '(ChTPS1a)', 'ChTPS1a,', 'ChTPS1f', 'ChTPS1g.', 'ChTPS1d,', 'TPS', 'ChTPS1', 'ChTPS1c', 'ChTPS1f', 'ChTPS1c', 'ChTPS1f', 'ChTPS1g', 'ChTPS1d'",
3,PMC4625925,NaN,"PtTPS17-', 'PtTPS17', 'PtTPS19/20', 'PtTPS17', 'PtTPS19/20', 'PtTPS17', 'PtTPS19/20', 'PtTPS18', 'PtTPS19/20', 'PtTPS17/18', 'PtTPS19/20', 'PtTPS17', 'PtTPS18', 'PtTPS19', 'PtTPS20', 'PtTPS20', 'PtTPS17/19/20', 'PtTPS17/19/20', 'PtTPS19/20', 'PtTPS19', 'PtTPS20', 'TPS-e', 'TPS', 'TPS', 'PtTPS10,', 'PtTPS17,', 'PtTPS18,', 'PtTPS19,', 'PtTPS20,', 'PtTPS17', 'PtTPS18', 'PtTPS17', 'PtTPS18', 'TPS-', 'TPS', 'PtTPS17,', 'PtTPS18,', 'PtTPS19,', 'PtTPS20', 'PtTPS17', 'PtTPS19', 'PtTPS20', 'PtTPS17-20', 'PtTPS19', 'PtTPS20,', 'PtTPS19', 'PtTPS20', 'PtTPS17', 'PtTPS17', 'PtTPS17', 'PtTPS19', 'PtTPS20', 'PtTPS17', 'PtTPS17,', 'PtTPS18', 'PtTPS19', 'PtTPS20', 'PtTPS19', 'PtTPS20', 'PtTPS19', 'PtTPS20', 'PtTPS19', 'PtTPS20', 'DiTPS,', 'PtTPS19', 'PtTPS20', 'PtTPS19,', 'PtTPS20', 'PtTPS20', 'PtTPS20', 'PtTPS20,', 'PtTPS19', 'PtTPS19', 'PtTPS20', 'PtTPS19', 'PtTPS20'",
4,PMC7905068,"Saccharomyces cerevisiae', 'Cinnamomum burmanni', 'metabolic engineering', '(+)-Borneol', '(+)-Bornyl Diphosphate Synthase'","CbTPS1', 'CbTPS1', 'CbTPS1', 'CbTPS1', 'CbTPS1', 'CbTPS1', 't37-CbTPS1.', 't37-CbTPS1', 'CbTPS1', 't10-CbTPS1', 't32-CbTPS1,', 't10-CbTPS1', 'CbTPS1,', 't32-CbTPS1', 'CbTPS1,', 'CbTPS1', 'CbTPS1K,', 't10-CbTPS1K,', 't32-CbTPS1K,', 't37-CbTPS1K.', 't32-CbTPS1K,', 'CbTPS1,', 'CbTPS1.', 'CbTPS1', 'TPS-b', 'CbTPS1', 'CbTPS1', 'CbTPS1'",
5,PMC4041997,NaN,"(TPSs)', 'SlTPS8.', 'SlTPS5', 'SlTPS3', 'SlTPS9', 'SlTPS5', 'SlTPS5.', 'SlTPS5', 'SlTPS3,', 'SlTPS7', 'SlTPS8-', 'SlTPS9)', 'SlTPS5', 'SlTPS3', 'SlTPS7', 'SlTPS8', 'SlTPS9', 'SlTPS5', 'SlTPS5', 'SlTPS5p:', 'SlTPS5'",
6,PMC8113424,"Plant growth regulators', 'HPLC', 'PCR', 'Southern blot', 'Zygotic embryo', 'Transgenic'","TPS2', 'TPS2', 'TPS2'",
7,PMC5449406,NaN,"OsTPS3', 'OsTPS10', 'OsTPS10', 'OsTPS3,'",
8,PMC7465836,"Promoter', 'Transcription factor', 'Cucumber', 'Cis-acting Regulatory Elements', 'Spider Mite'","(TPS)', 'TPSs', 'TPS', 'CsTPS9', 'CsTPS9,', 'CsTPS9,'",
9,PMC5498564,NaN,,
