,metadata_json,PMCIDS,abstract,keywords,yake_keywords,entities,TPS_match,Camellia_match,terms
0,C:\Users\shweata\snowball\corpus\tps_camellia\PMC3288696\eupmc_result.json,PMC3288696,"Rosa damascena, or Damask rose, is a rose hybrid commonly harvested for rose oil used in perfumery and for rose water used to flavor food. The petal extract of R. damascena was recently found to decrease Drosophila melanogaster mortality without impairing reproductive fitness or metabolic rate. Here, we report that R. damascena extended both mean and maximum lifespan of the fly. The extract also protected against oxidative stress in flies, predominantly in females. However, it did not alter mitochondrial respiration or content, superoxide production, or the major antioxidant defenses, superoxide dismutase and catalase. The extract increased survival in both sexes when exposed to reduced iron, though surprisingly, it sensitized both sexes to heat stress (survival at 37°C), and appeared to down-regulate the major heat shock protein HSP70 and the small mitochondrial heat shock protein HSP22, at 25°C and after heat shock (4 h at 37°C). We hypothesize that R. damascena extends lifespan by protecting against iron, which concomitantly leads to decreased HSP expression and compromising heat tolerance.",NaN,"['Damask rose', 'rose hybrid', 'rose oil', 'rose water', 'flavor food', 'rose', 'hybrid commonly', 'commonly harvested', 'Rosa damascena', 'Damask']","[superoxide dismutase, catalase, HSP70, HSP22, °C, heat shock (4, HSP]",[],[],NaN
1,C:\Users\shweata\snowball\corpus\tps_camellia\PMC3650682\eupmc_result.json,PMC3650682,"Early plants began colonizing the terrestrial earth approximately 450 million years ago. Their success on land has been partially attributed to the evolution of specialized metabolic systems from core metabolic pathways, the former yielding structurally and functionally diverse chemicals to cope with a myriad of biotic and abiotic ecological pressures. Over the past two decades, functional genomics, primarily focused on flowering plants, has begun cataloging the biosynthetic players underpinning assorted classes of plant specialized metabolites. However, the molecular mechanisms enriching specialized metabolic pathways during land plant evolution remain largely unexplored. Selaginella is an extant lycopodiophyte genus representative of an ancient lineage of tracheophytes. Notably, the lycopodiophytes diverged from euphyllophytes over 400 million years ago. The recent completion of the whole-genome sequence of an extant lycopodiophyte, S. moellendorffii, provides new genomic and biochemical resources for studying metabolic evolution in vascular plants. 400 million years of independent evolution of lycopodiophytes and euphyllophytes resulted in numerous metabolic traits confined to each lineage. Surprisingly, a cadre of specialized metabolites, generally accepted to be restricted to seed plants, have been identified in Selaginella. Initial work suggested that Selaginella lacks obvious catalytic homologs known to be involved in the biosynthesis of well-studied specialized metabolites in seed plants. Therefore, these initial functional analyses suggest that the same chemical phenotypes arose independently more commonly than anticipated from our conventional understanding of the evolution of metabolism. Notably, the emergence of analogous and homologous catalytic machineries through convergent and parallel evolution, respectively, seems to have occurred repeatedly in different plant lineages.","['Selaginella', 'Parallel Evolution', 'Convergent Evolution', 'Specialized Metabolism', 'Chemodiversity']","['earth approximately', 'began colonizing', 'terrestrial earth', 'million years', 'specialized metabolites', 'specialized', 'evolution', 'specialized metabolic', 'metabolic', 'Early plants']",[],[],[],NaN
2,C:\Users\shweata\snowball\corpus\tps_camellia\PMC4347605\eupmc_result.json,PMC4347605,"Terpenoid synthases constitute a highly diverse gene family producing a wide range of cyclic and acyclic molecules consisting of isoprene (C5) residues. Often a single terpene synthase produces a spectrum of molecules of given chain length, but some terpene synthases can use multiple substrates, producing products of different chain length. Only a few such enzymes has been characterized, but the capacity for multiple-substrate use can be more widespread than previously thought. Here we focused on germacrene A synthase (GAS) that is a key cytosolic enzyme in the sesquiterpene lactone biosynthesis pathway in the important medicinal plant Achillea millefolium (AmGAS). The full length encoding gene was heterologously expressed in Escherichia coli BL21 (DE3), functionally characterized, and its in vivo expression was analyzed. The recombinant protein catalyzed formation of germacrene A with the C15 substrate farnesyl diphosphate (FDP), while acyclic monoterpenes were formed with the C10 substrate geranyl diphosphate (GDP) and cyclic monoterpenes with the C10 substrate neryl diphosphate (NDP). Although monoterpene synthesis has been assumed to be confined exclusively to plastids, AmGAS can potentially synthesize monoterpenes in cytosol when GDP or NDP become available. AmGAS enzyme had high homology with GAS sequences from other Asteraceae species, suggesting that multi-substrate use can be more widespread among germacrene A synthases than previously thought. Expression studies indicated that AmGAS was expressed in both autotrophic and heterotrophic plant compartments with the highest expression levels in leaves and flowers. To our knowledge, this is the first report on the cloning and characterization of germacrene A synthase coding gene in A. millefolium, and multi-substrate use of GAS enzymes.","['Sesquiterpenes', 'Monoterpenes', 'Enzyme assay', 'Gene Expression', 'Achillea Millefolium', 'Cytosolic Terpene Synthesis', 'Germacrene A Synthase Gene', 'Mixed Substrate Specificity']","['highly diverse', 'wide range', 'family producing', 'molecules consisting', 'Terpenoid synthases', 'synthases constitute', 'chain length', 'germacrene', 'diverse gene', 'gene family']","[FDP, AmGAS, AmGAS, AmGAS]",[],[],terpene synthase
3,C:\Users\shweata\snowball\corpus\tps_camellia\PMC4588909\eupmc_result.json,PMC4588909," Background Tea (Camellia sinensis) has long been consumed worldwide for its amazing flavor and aroma. Methyl jasmonate (MeJA), which acts as an effective elicitor among the plant kingdom, could mostly improve the quality of tea aroma by promoting flavor volatiles in tea leaves. Although a variety of volatile secondary metabolites that contribute to aroma quality have been identified, our understanding of the biosynthetic pathways of these compounds has remained largely incomplete. Therefore, information aboaut the transcriptome of tea leaves and, specifically, details of any changes in gene expression in response to MeJA, is required for a better understanding of the biological mechanisms of MeJA-mediated volatiles biosynthesis. Moreover, MeJA treatment could exaggerate the responses of secondary metabolites and some gene expression which offer a better chance to figure out the mechanism. Results The results of two-dimensional gas-chromatograph mass-spectrometry showed that the terpenoids content in MeJA-treated tea leaves increased, especially linalool, geraniol, and phenylethyl alcohol. More importantly, we carried out RNA-seq to identify the differentially expressed genes (DEGs) related to volatiles biosynthesis pathways induced by MeJA treatment (0 h, 12 h, 24 h and 48 h) in tea leaves. We identified 19245, 18614, 11890 DEGs respectively in the MeJA_12h, MeJA_24 h and MeJA_48 h samples. The α-Lenolenic acid degradation pathway was firstly responded resulting in activating the JA-pathway inner tea leaves, and the MEP/DOXP pathway significantly exaggerated. Notably, the expression level of jasmonate O-methyltransferase, which is associated with the central JA biosynthesis pathway, was increased by 7.52-fold in MeJA_24 h tea leaves. Moreover, the genes related to the terpenoid backbone biosynthesis pathway showed different expression patterns compared with the untreated leaves. The expression levels of 1-deoxy-D-xylulose-phosphate synthase (DXS), all-trans-nonaprenyl-diphosphate synthase, geranylgeranyl reductase, geranylgeranyl diphosphate synthase (type II), hydroxymethylglutaryl-CoA reductase and 4-hydroxy-3-methylbut-2-enyl diphosphate reductase increased by approximately 2-4-fold. Conclusions The results of two-dimension gas-chromatography mass-spectrometry analysis suggested that exogenous application of MeJA could induce the levels of volatile components in tea leaves, especially the geraniol, linalool and its oxides. Moreover, the transcriptome analysis showed increased expression of genes in α-Lenolenic acid degradation pathway which produced massive jasmonic acid and quickly activated holistic JA-pathway inner tea leaves, also the terpenoid backbones biosynthesis pathway was significantly affected after MeJA treatment. In general, MeJA could greatly activate secondary metabolism pathways, especially volatiles. The results will deeply increase our understanding of the volatile metabolites biosynthesis pathways of tea leaves in response to MeJA.",NaN,"['tea leaves', 'Camellia sinensis', 'Tea', 'MeJA', 'leaves', 'biosynthesis pathway', 'pathway', 'consumed worldwide', 'Background Tea', 'biosynthesis']","[Tea, aboaut, RNA-seq, 18614, MeJA_12h, MeJA_24 , MeJA_48 , jasmonate O-methyltransferase, 7.52-fold, MeJA_24 , 1-deoxy-D-xylulose-phosphate synthase, all-trans-nonaprenyl-diphosphate synthase, geranylgeranyl reductase, geranylgeranyl diphosphate synthase, hydroxymethylglutaryl-CoA reductase, 4-hydroxy-3-methylbut-2-enyl diphosphate reductase]",[],['(Camellia'],NaN
4,C:\Users\shweata\snowball\corpus\tps_camellia\PMC4645219\eupmc_result.json,PMC4645219,"Regulation of plant growth and development by light wavelength has been extensively studied. Less attention has been paid to effect of light wavelength on formation of plant metabolites. The objective of this study was to investigate whether formation of volatiles in preharvest and postharvest tea (Camellia sinensis) leaves can be regulated by light wavelength. In the present study, in contrast to the natural light or dark treatment, blue light (470 nm) and red light (660 nm) significantly increased most endogenous volatiles including volatile fatty acid derivatives (VFADs), volatile phenylpropanoids/benzenoids (VPBs), and volatile terpenes (VTs) in the preharvest tea leaves. Furthermore, blue and red lights significantly up-regulated the expression levels of 9/13-lipoxygenases involved in VFADs formation, phenylalanine ammonialyase involved in VPBs formation, and terpene synthases involved in VTs formation. Single light wavelength had less remarkable influences on formation of volatiles in the postharvest leaves compared with the preharvest leaves. These results suggest that blue and red lights can be promising technology for remodeling the aroma of preharvest tea leaves. Furthermore, our study provided evidence that light wavelength can activate the expression of key genes involved in formation of plant volatiles for the first time.",NaN,"['light wavelength', 'light', 'extensively studied', 'formation', 'wavelength', 'plant growth', 'leaves', 'plant', 'red lights', 'preharvest']","[red light (660 , VFADs, VTs, 9/13-lipoxygenases, VFADs, phenylalanine ammonialyase, VTs]",[],['(Camellia'],terpene synthase
5,C:\Users\shweata\snowball\corpus\tps_camellia\PMC4654506\eupmc_result.json,PMC4654506,"Syringa oblata Lindl. is a woody ornamental plant with high economic value and characteristics that include early flowering, multiple flower colors, and strong fragrance. Despite a long history of cultivation, the genetics and molecular biology of S. oblata are poorly understood. Transcriptome and expression profiling data are needed to identify genes and to better understand the biological mechanisms of floral pigments and scents in this species. Nine cDNA libraries were obtained from three replicates of three developmental stages: inflorescence with enlarged flower buds not protruded, inflorescence with corolla lobes not displayed, and inflorescence with flowers fully opened and emitting strong fragrance. Using the Illumina RNA-Seq technique, 319,425,972 clean reads were obtained and were assembled into 104,691 final unigenes (average length of 853 bp), 41.75% of which were annotated in the NCBI non-redundant protein database. Among the annotated unigenes, 36,967 were assigned to gene ontology categories and 19,956 were assigned to eukaryoticorthologous groups. Using the Kyoto Encyclopedia of Genes and Genomes pathway database, 12,388 unigenes were sorted into 286 pathways. Based on these transcriptomic data, we obtained a large number of candidate genes that were differentially expressed at different flower stages and that were related to floral pigment biosynthesis and fragrance metabolism. This comprehensive transcriptomic analysis provides fundamental information on the genes and pathways involved in flower secondary metabolism and development in S. oblata, providing a useful database for further research on S. oblata and other plants of genus Syringa.",NaN,"['oblata Lindl.', 'early flowering', 'woody ornamental', 'high economic', 'include early', 'oblata', 'Lindl.', 'multiple flower', 'flower colors', 'strong fragrance']","[319,425,972, 104,691]",[],[],NaN
6,C:\Users\shweata\snowball\corpus\tps_camellia\PMC5086397\eupmc_result.json,PMC5086397,"Propolis is a resin produced by bees from raw material collected from plants, salivary secretions, and beeswax. New therapeutic properties for the Central Nervous System have emerged. We explored the neurobehavioral and antioxidant effects of an ethanolic extract of yellow propolis (EEYP) rich in triterpenoids, primarily lupeol and  β -amyrin. Male Wistar rats, 3 months old, were intraperitoneally treated with Tween 5% (control), EEYP (1, 3, 10, and 30 mg/kg), or diazepam, fluoxetine, and caffeine (positive controls) 30 min before the assays. Animals were submitted to open field, elevated plus maze, forced swimming, and inhibitory avoidance tests. After behavioral tasks, blood samples were collected through intracardiac pathway, to evaluate the oxidative balance. The results obtained in the open field and in the elevated plus maze assay showed spontaneous locomotion preserved and anxiolytic-like activity. In the forced swimming test, EEYP demonstrated antidepressant-like activity. In the inhibitory avoidance test, EEYP showed mnemonic activity at 30 mg/kg. In the evaluation of oxidative biochemistry, the extract reduced the production of nitric oxide and malondialdehyde without changing level of total antioxidant, catalase, and superoxide dismutase, induced by behavioral stress. Our results highlight that EEYP emerges as a promising anxiolytic, antidepressant, mnemonic, and antioxidant natural product.",NaN,"['salivary secretions', 'resin produced', 'raw material', 'Central Nervous', 'Nervous System', 'EEYP', 'material collected', 'open field', 'inhibitory avoidance', 'plants']","[EEYP, EEYP (1, anxiolytic-like, EEYP, antidepressant-like, EEYP, catalase, superoxide dismutase, EEYP]",[],[],NaN
7,C:\Users\shweata\snowball\corpus\tps_camellia\PMC5145883\eupmc_result.json,PMC5145883,"In field conditions, especially in arid and semi-arid areas, tea plants are often simultaneously exposed to various abiotic stresses such as cold and drought, which have profound effects on leaf senescence process and tea quality. However, most studies of gene expression in stress responses focus on a single inciting agent, and the confounding effect of multiple stresses on crop quality and leaf senescence remain unearthed. Here, global transcriptome profiles of tea leaves under separately cold and drought stress were compared with their combination using RNA-Seq technology. This revealed that tea plants shared a large overlap in unigenes displayed ""similar"" (26%) expression pattern and avoid antagonistic responses (lowest level of ""prioritized"" mode: 0%) to exhibit very congruent responses to co-occurring cold and drought stress; 31.5% differential expressed genes and 38% of the transcriptome changes in response to combined stresses were unpredictable from cold or drought single-case studies. We also identified 319 candidate genes for enhancing plant resistance to combined stress. We then investigated the combined effect of cold and drought on tea quality and leaf senescence. Our results showed that drought-induced leaf senescence were severely delayed by (i) modulation of a number of senescence-associated genes and cold responsive genes, (ii) enhancement of antioxidant capacity, (iii) attenuation of lipid degradation, (iv) maintenance of cell wall and photosynthetic system, (v) alteration of senescence-induced sugar effect/sensitivity, as well as (vi) regulation of secondary metabolism pathways that significantly influence the quality of tea during combined stress. Therefore, care should be taken when utilizing a set of stresses to try and maximize leaf longevity and tea quality.","['Tea quality', 'Leaf senescence', 'Camellia sinensis', 'Rna-seq', 'Cold-drought Combined Stress']","['leaf senescence', 'field conditions', 'semi-arid areas', 'simultaneously exposed', 'tea', 'tea quality', 'cold', 'drought', 'drought stress', 'stress']",[senescence-associated],[],[],NaN
8,C:\Users\shweata\snowball\corpus\tps_camellia\PMC5412298\eupmc_result.json,PMC5412298,"Roots are vital to plant survival and crop yield, yet few efforts have been made to characterize the expressed genes in the roots of non-model plants (root transcriptomes). This study was conducted to sequence, assemble, annotate, and characterize the root transcriptomes of three caladium cultivars ( Caladium  ×  hortulanum ) using RNA-Seq. The caladium cultivars used in this study have different levels of resistance to  Pythium  myriotylum , the most damaging necrotrophic pathogen to caladium roots. Forty-six to 61 million clean reads were obtained for each caladium root transcriptome. De novo assembly of the reads resulted in approximately 130,000 unigenes. Based on bioinformatic analysis, 71,825 (52.3%) caladium unigenes were annotated for putative functions, 48,417 (67.4%) and 31,417 (72.7%) were assigned to Gene Ontology (GO) and Clusters of Orthologous Groups (COG), respectively, and 46,406 (64.6%) unigenes were assigned to 128 Kyoto Encyclopedia of Genes and Genomes (KEGG) pathways. A total of 4518 distinct unigenes were observed only in  Pythium -resistant ""Candidum"" roots, of which 98 seemed to be involved in disease resistance and defense responses. In addition, 28,837 simple sequence repeat sites and 44,628 single nucleotide polymorphism sites were identified among the three caladium cultivars. These root transcriptome data will be valuable for further genetic improvement of caladium and related aroids.","['Disease resistance gene', 'Rna-seq', 'De Novo Assembly', 'Root Transcriptome', 'Caladium', 'Defense-related Gene', 'Aroid']","['plant survival', 'non-model plants', 'crop yield', 'caladium', 'caladium cultivars', 'root transcriptomes', 'expressed genes', 'Roots', 'root', 'unigenes']","[31,417, 28,837, 44,628]",[],[],NaN
9,C:\Users\shweata\snowball\corpus\tps_camellia\PMC5700130\eupmc_result.json,PMC5700130,"A large number of terpenoid compounds have been extracted from different tissues of S. officinalis. However, the molecular genetic basis of terpene biosynthesis pathways is virtually unknown. In this study, approximately 6.6 Gb of raw data were generated from the transcriptome of S. officinalis leaves using Illumina HiSeq 2000 sequencing. After filtering and removing the adapter sequences from the raw data, the number of reads reached 21 million, comprising 98 million of high-quality nucleotide bases. 48,671 unigenes were assembled de novo and annotated for establishing a valid database for studying terpenoid biosynthesis. We identified 135 unigenes that are putatively involved in terpenoid metabolism, including 70 mevalonate and methyl-erythritol phosphate pathways, terpenoid backbone biosynthesis genes, and 65 terpene synthase genes. Moreover, five terpene synthase genes were studied for their functions in terpenoid biosynthesis by using transgenic tobacco; most transgenic tobacco plants expressing these terpene synthetic genes produced increased amounts of terpenoids compared with wild-type control. The combined data analyses from the transcriptome and metabolome provide new insights into our understanding of the complex metabolic genes in terpenoid-rich sage, and our study paves the way for the future metabolic engineering of the biosynthesis of useful terpene compounds in S. officinalis.",NaN,"['large number', 'terpenoid', 'biosynthesis', 'terpene', 'genes', 'officinalis', 'raw data', 'terpenoid biosynthesis', 'data', 'terpene synthase']",[],[],[],terpene synthase
