,metadata_json,PMCIDS,ethic,abstract,keywords,yake_keywords,"['number:', 'no.', 'No.', 'number']_match"
0,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC5768484\eupmc_result.json,PMC5768484,,"[This corrects the article on p. 192 in vol. 33, PMID: 29159167.].",NaN,[],[]
1,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC7520598\eupmc_result.json,PMC7520598,,NaN,NaN,[],[]
2,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC7801096\eupmc_result.json,PMC7801096,,"The first case of COVID-19 was identified in Libya on 24/3/2020, and about 2 months later, the number of reported COVID-19 cases started to increase notably. The outbreak was first prominent in the southern region (Sabha) and then spread to the western and eastern parts of Libya. By 24/12/2020, the reported total number of deaths from COVID-19 reached 1415. There seems to be no published data on the size of the epidemic in Libya. Here, we estimated the number of Libyans exposed to COVID-19 by using a COVID-19 mortality adjusted mathematical model for the spread of infectious diseases. We estimated that 14-20% of the Libyan population have been exposed to the COVID-19 pandemic. Thus, the risk of spread of COVID-19 infections during the coming months is high, and a considerable number of Libyans, particularly the elderly and people with chronic diseases, should be protected against COVID-19 infection. This is particularly urgent in the light of unofficial reports that the relevant healthcare facilities are under extreme stress.","['Modeling', 'Libya', 'Epidemic Spread', 'Covid-19']",[],[]
3,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC7833022\eupmc_result.json,PMC7833022,Ethical approval This study was conducted under Ethics Review Board approval number YS-2016-109. Informed consent was obtained from all participants included in the study.," Objective:  Cerebral small vessel disease (CSVD) and chronic kidney disease (CKD) may be part of a multisystem small-vessel disorder. Since the kidney and brain share unique susceptibilities to vascular injury, kidney impairment may be predictive of the presence and severity of CSVD. This study explored the relationship between CSVD and CKD.  Methods:  Between December 2015 and December 2017 (follow-up 10-20 months) 52 patients with chronic nephritis and CKD were classified into a progressive group ( n  = 17) and stable group ( n  = 35). Age, gender, hypertension, diabetes and smoking were matched between groups. CSVD features of both groups, including enlarged Virchow-Robin spaces (VRS), white matter lesions (WML), lacunar infarcts (LI), and cerebral microbleeds (CMB) were evaluated by magnetic resonance (MR) imaging.  Results:  WML and CMB in the progressive group were exacerbated at follow-up compared to initial exam ( p  = 0.004 and 0.041, respectively). There was no significant change in VRS, WML, LI, or CMB in the stable group at follow-up compared to initial exam. CMB were significantly different between the progressive group and stable group at follow-up.etimtaed Glomerular filtration rate (eGFR) was significantly correlated with VRS, WML, and CMB at follow-up ( p  = 0.037, 0.041, and 0.009, respectively).  Conclusions:  Patients with progressive CKD have a higher prevalence and severity of CSVD, which correlates with deterioration of renal function as assessed by decreased eGFR. Thus EGFR may also be of value in the prediction of cerebral small vessel disease.","['MRI', 'glomerular filtration rate', 'Chronic Kidney Disease', 'Cerebral Small Vessel Disease', 'Virchow-robin Spaces']","['Ethics Review', 'Review Board', 'Board approval', 'Ethical approval', 'approval number', 'Ethics', 'Review', 'Board', 'Ethical', 'number']",['YS-2016-109.']
4,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC7833043\eupmc_result.json,PMC7833043,"Ethics approval The study was approved by the King Khalid University Ethics Committee (approval number: ECM#2020-183–(HAPO-06-B-001), and no identifying personal information (e.g. name, age) or other sensitive data were collected. M = male students; F = female students Ethical approval The Ethical Committee of the Scientific Research, King Khalid University approved the study (approval number: ECM#2020-183–(HAPO-06-B-001) to use scores and absence rates, with no personal information of students disclosed.","The effects of the learning environment on academic performance can be investigated according to a broad range of factors using a diversity of approaches. Many differences in academic performance have been associated with the sex of the student.  Objectives : This study aims to understand the impact of absenteeism on the final grades earned by full-time medical laboratory sciences undergraduate students and whether this is affected by sex. Academic performance was analyzed using students' final grades from two consecutive semesters (January to April and September to December 2019). The differences between male (n = 43) and female (n = 72) students were evaluated by Pearson's correlation. During the semester, all teaching and assessment methods were standardized across both course sections to avoid confounding effects derived from the teaching method. Academic performance was assessed both objectively (multiple-choice questions) and subjectively (short essay questions). The mean scores of male and female students during two semesters were significantly different (p = 0.0180). To correlate marks with absenteeism, the correlation coefficient (r) was negative, which indicates an inverse correlation between absence rate and scores. Interestingly, a statistically significant correlation between absenteeism and final grades was found in the male sample population (p = 0.0011 for the first semester; p = 0.0255 for the second semester) that was not observed for their female counterparts (p = 0.2041; p = 0.1537). The results indicate that academic performance among women is not solely dependent on class attendance but likely involves other factors such as self-learning, and group discussion. The mean scores of female medical sciences students were significantly higher than the male students for two consecutive semesters. Male overall scores seem to be conditional on the instructor's explanation. This sex-based variation in academic performance revealed by taking absenteeism rate into account warrant further investigation.","['Sex', 'Grade', 'Absenteeism', 'Academic Performance', 'Self-learning']","['King Khalid', 'Khalid University', 'University Ethics', 'Ethics Committee', 'approval number', 'sensitive data', 'personal information', 'Ethics approval', 'ECM', 'Ethical Committee']","['ECM#2020-183–(HAPO-06-B-001),', 'ECM#2020-183–(HAPO-06-B-001)']"
5,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC7971202\eupmc_result.json,PMC7971202,,NaN,NaN,[],[]
6,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC7991999\eupmc_result.json,PMC7991999,,"A global, comprehensive and open access listing of approved anticancer drugs does not currently exist. Partial information is available from multiple sources, including regulatory authorities, national formularies and scientific agencies. Many such data sources include drugs used in oncology for supportive care, diagnostic or other non-antineoplastic uses. We describe a methodology to combine and cleanse relevant data from multiple sources to produce an open access database of drugs licensed specifically for therapeutic antineoplastic purposes. The resulting list is provided as an open access database, (http://www.redo-project.org/cancer-drugs-db/), so that it may be used by researchers as input for further research projects, for example literature-based text mining for drug repurposing.","['Database', 'Antineoplastic drugs', 'Drug Repurposing', 'Drug Licensing', 'List Of Cancer Drugs', 'Licensed Drugs']",[],[]
7,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC8009016\eupmc_result.json,PMC8009016,"Ethical consideration Approval 19-2, Rakuno Gakuen University Medical Research Ethics Review Committees for Human Subjects.",NaN,"['Sexual Violence', 'Gender Studies', 'Dv Consultation Plus', 'Domestic Violence In Japan']","['Rakuno Gakuen', 'Human Subjects', 'Gakuen University', 'University Medical', 'Medical Research', 'Research Ethics', 'Ethics Review', 'Review Committees', 'Approval 19-2', 'consideration Approval']",[]
8,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC8023627\eupmc_result.json,PMC8023627,"3.1. Ethical approval The study was approved by the institutional review board of the Princess Nourah Bint Abdulrahman University (IRB Approval Number: 20–0217). Ethics approval and consent to participate The data were obtained from the Saudi Ministry of Health and World Health Organization records and the study conducted under the approval of the Regional Directorate of Primary Health according to ethical standards with the maintenance of anonymity of each patient. Thus, all the data of patients was recorded without patients details, it was not necessary to obtain the personal consent of the study participants. The study was ethically approved by the institutional review board of the Princess Nourah Bint Abdulrahman University (IRB Approval Number: 20–0217).","The outbreak of corona virus disease (COVID-19) caused by the new severe acute respiratory syndrome corona virus 2 began in Wuhan, China, resulting in respiratory disorders. In January of 2020, the World Health Organization declared the outbreak a pandemic owing to its global spread. Because no studies have investigated COVID-19 in Saudi Arabia, this study investigated similarities and differences between demographic data during the COVID-19 and Middle East respiratory syndrome (MERS) outbreaks in Saudi Arabia. A retrospective trend analysis was performed to assess demographic data of all laboratory-confirmed MERS and COVID-19 cases. Patients' charts were reviewed for data on demographics, mortality, citizenship, sex ratio, and age groups with descriptive and comparative statistics; the data were analyzed using a non-parametric binomial test and chi-square test. Of all COVID-19 patients in Saudi Arabia,78%were male patients and 22% were female patients. This proportion of male COVID-19 patients was similar to that of male MERS patients, which also affected male patients more frequently than female patients. The number of COVID-19-positive Saudi cases was lower than that of non-Saudi cases, which were in contrast to that of MERS; COVID-19 appeared to be remarkably similar to MERS with respect to recovered cases. However, the numbers of critical and dead COVID-19 patients have been much lower than those of MERS patients. The largest proportion of COVID-19 and MERS cases (44.05% and 40.8%, respectively) were recorded in the Western region. MERS and COVID-19 exhibited similar threats to the lives of adults and the elderly, despite lower mortality rates during the COVID-19 epidemic. Targeted prevention of and interventions against MERS should be allocated populations according to the areas where they inhabit. However, much more information regarding the dynamics and epidemiology of COVID-19 in Saudi Arabia is needed. Abbrevation  : MERS: Middle East Respiratory syndrome; COVID-19: Corona Virus Disease 2019.","['Saudi Arabia', 'Respiratory Illness', 'Mers', 'Covid-19']","['Abdulrahman University', 'Princess Nourah', 'Nourah Bint', 'Bint Abdulrahman', 'IRB Approval', 'Approval Number', 'approval', 'World Health', 'Health Organization', 'Primary Health']",[]
9,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number_300_getpapers\PMC8086274\eupmc_result.json,PMC8086274,," Background We describe our experience from a multi-national application of a European Union-funded research-driven paediatric trial (DEEP-2, EudraCT 2012-000353-31; NCT01825512). This paper aims to evaluate the impact of the local and national rules on the trial authorisation process in European and non-European countries. National/local provisions and procedures, number of Ethics Committees and Competent Authorities to be addressed, documentation required, special provisions for the paediatric population, timelines for completing the authorisation process and queries received were collected; compliance with the European provisions were evaluated. Descriptive analysis, Wilcoxon Rank-Sum test and General Linear Model analysis were used to determine factors potentially influencing the timelines. The Cluster Analysis procedure was used to identify homogenous groups of cases. Result The authorisation process was completed in 7.7 to 53.8 months in European countries and in 17.1 to 27.1 months in non-European countries. The main factors influencing these timelines were the requests for changes/clarifications in European countries and the different national legislations in non-European countries. Conclusion This work confirms that the procedures and requirements for the clinical trial application of a paediatric trial are different. In the European Union, the timeframes for submission were generally harmonised but longer. In non-European countries, delays were caused by national dispositions but the entire authorisation process resulted faster with less requests from ECs/CAs. The upcoming application of Regulation (EU) 536/2014 is expected to harmonise practices in Europe and possibly outside. Networks on paediatric research acting at international level will be crucial in this effort.",Clinical Trial Application; Multi-national Trial; Paediatric Clinical Research; Biomedical Ethics,[],[]
